listing_id,scrape_id,scraped_date,host_id,host_name,host_since,host_is_superhost,host_neighbourhood,listing_neighbourhood,property_type,room_type,accommodates,price,has_availability,availability_30,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_value,source_file,year_month
24070623,20200000000000,2020-08-21,10903295,Paul,30/12/2013,f,Randwick,Randwick,Entire apartment,Entire home/apt,2,300.0,t,30,0,,,,,,,08_2020.csv,2020-08
24071350,20200000000000,2020-08-22,163277099,Kylee,19/12/2017,t,Cronulla,Sutherland Shire,Entire apartment,Entire home/apt,2,120.0,t,0,91,97.0,10.0,10.0,10.0,10.0,9.0,08_2020.csv,2020-08
24071989,20200000000000,2020-08-22,66400722,Hung,9/4/2016,f,Kingsgrove,Canterbury-Bankstown,Private room in house,Private room,1,22.0,t,12,66,91.0,9.0,9.0,10.0,10.0,9.0,08_2020.csv,2020-08
24080546,20200000000000,2020-08-21,21343886,Scott,15/9/2014,t,Surry Hills,Sydney,Entire house,Entire home/apt,8,302.0,t,30,140,98.0,10.0,10.0,10.0,10.0,9.0,08_2020.csv,2020-08
24084470,20200000000000,2020-08-20,975349,Susie,15/8/2011,t,Bondi Beach,Waverley,Entire house,Entire home/apt,3,140.0,t,0,1,80.0,10.0,8.0,8.0,10.0,8.0,08_2020.csv,2020-08
24087225,20200000000000,2020-08-20,177764872,Sunny,11/3/2018,f,Mascot,Bayside,Private room in house,Private room,2,85.0,t,0,17,87.0,9.0,9.0,10.0,9.0,9.0,08_2020.csv,2020-08
24087525,20200000000000,2020-08-22,181384625,Doug,30/3/2018,f,,Blacktown,Private room in house,Private room,1,60.0,t,30,0,,,,,,,08_2020.csv,2020-08
24089920,20200000000000,2020-08-20,177764872,Sunny,11/3/2018,f,Mascot,Bayside,Private room in house,Private room,2,85.0,t,0,9,100.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
24092244,20200000000000,2020-08-20,61830674,Juan,6/3/2016,f,,Sydney,Private room in apartment,Private room,1,70.0,t,0,1,100.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
24093494,20200000000000,2020-08-21,136656739,Rees,23/6/2017,t,Annandale,Inner West,Entire house,Entire home/apt,10,600.0,t,30,4,100.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
24093495,20200000000000,2020-08-20,181392570,Sydney,30/3/2018,f,Strathfield,Cumberland,Private room in apartment,Private room,2,45.0,t,0,40,91.0,10.0,9.0,9.0,9.0,9.0,08_2020.csv,2020-08
24093501,20200000000000,2020-08-20,7958263,Lina,5/8/2013,f,Drummoyne,Canada Bay,Entire house,Entire home/apt,4,200.0,t,0,0,,,,,,,08_2020.csv,2020-08
24094077,20200000000000,2020-08-20,161238034,竞雯,4/12/2017,f,Kensington,Randwick,Private room in apartment,Private room,1,30.0,t,0,0,,,,,,,08_2020.csv,2020-08
24095420,20200000000000,2020-08-21,49845948,Julie,25/11/2015,f,,Northern Beaches,Private room in apartment,Private room,2,60.0,t,28,8,91.0,9.0,9.0,9.0,9.0,9.0,08_2020.csv,2020-08
24102891,20200000000000,2020-08-22,167340072,Charles,12/1/2018,f,Burwood,Burwood,Entire townhouse,Entire home/apt,8,150.0,t,27,1,100.0,10.0,8.0,10.0,10.0,10.0,08_2020.csv,2020-08
24104310,20200000000000,2020-08-21,1839840,Nikos,1/3/2012,f,Bondi Beach,Waverley,Private room in apartment,Private room,2,70.0,t,29,1,80.0,10.0,10.0,10.0,10.0,10.0,08_2020.csv,2020-08
24104356,20200000000000,2020-08-20,158525705,Love,13/11/2017,f,,Blacktown,Private room in house,Private room,2,57.0,t,0,0,,,,,,,08_2020.csv,2020-08
24107287,20200000000000,2020-08-21,7298197,Lisa,5/7/2013,f,Coogee,Randwick,Entire apartment,Entire home/apt,2,250.0,t,29,0,,,,,,,08_2020.csv,2020-08
24107464,20200000000000,2020-08-21,64824319,Norman,28/3/2016,f,Surry Hills,Sydney,Shared room in house,Shared room,1,40.0,t,30,8,80.0,8.0,6.0,10.0,10.0,8.0,08_2020.csv,2020-08
24120491,20200000000000,2020-08-20,181687363,Cindy,31/3/2018,f,,Parramatta,Private room in house,Private room,2,86.0,t,0,0,,,,,,,08_2020.csv,2020-08
24120945,20200000000000,2020-08-22,64493275,Travis,26/3/2016,f,,Randwick,Private room in apartment,Private room,2,69.0,t,0,1,,,,,,,08_2020.csv,2020-08
