host_id,host_name,host_is_superhost,host_neighbourhood,host_since
40855,Colleen,False,Potts Point,2009-09-23
17061,Stuart,False,Pyrmont,2009-05-14
55948,Heidi,True,Balgowlah,2009-11-20
59850,Morag,False,Darlinghurst,2009-12-03
159252,Sky,False,Bellevue Hill,2010-07-06
112237,Atari,True,Darlinghurst,2010-04-22
201611,Deborah,True,Bondi Beach,2010-08-14
279955,John,False,Mosman,2010-11-06
279955,John,True,Mosman,2010-11-06
284711,Isabel,True,Alexandria,2010-11-11
299170,Eilish,False,Bondi Beach,2010-11-25
299170,Eilish,True,Bondi Beach,2010-11-25
318390,Nicolette,False,Bondi Beach,2010-12-14
322887,Belinda,False,Paddington,2010-12-19
323771,Maxine,False,Elizabeth Bay,2010-12-20
323771,Maxine,True,Elizabeth Bay,2010-12-20
16474,Anand,False,Ultimo,2009-05-10
160705,Liz,False,Marrickville,2010-07-07
333581,Bryan,True,Sydney,2011-01-03
333581,Bryan,True,,2011-01-03
345292,Pamela,False,,2011-01-12
352614,Ben,True,Bardwell Valley,2011-01-18
354537,Romina,False,Waterloo,2011-01-20
292913,Maz,True,Randwick,2010-11-20
292913,Maz,False,Randwick,2010-11-20
385108,Dan,False,Bondi Beach,2011-02-10
402292,Helen,True,Malabar,2011-02-21
429171,Jude,False,Neutral Bay,2011-03-07
431242,Karen,False,Bronte,2011-03-08
431242,Karen,True,Bronte,2011-03-08
434914,James,False,Neutral Bay,2011-03-10
465560,Elaine,True,Manly,2011-03-27
476047,Ann,False,Bondi,2011-03-31
476047,Ann,True,Bondi,2011-03-31
453466,Jude,False,Rosebery,2011-03-20
480315,Marianne,True,,2011-04-03
480315,Marianne,False,,2011-04-03
407155,Nicole,False,Balmain,2011-02-23
172878,Christopher,False,North Bondi,2010-07-19
543277,Joseph,True,Bondi Beach,2011-04-28
549372,Susanne,False,,2011-05-01
549372,Susanne,True,,2011-05-01
359706,Saysana,True,Surry Hills,2011-01-24
599232,James,False,North Bondi,2011-05-18
644516,Mel,True,Redfern,2011-05-30
640406,Jared,False,,2011-05-29
501973,Francine,False,Bondi,2011-04-11
695202,Donny,False,,2011-06-13
695349,Family Team -,True,,2011-06-13
733574,Tobias,True,Potts Point,2011-06-22
733574,Tobias,False,Potts Point,2011-06-22
519216,Godelieve,False,,2011-04-18
954713,Gill,True,,2011-08-11
954703,Diana & Lorenzo,False,Bondi,2011-08-11
967089,Carmel,False,Marrickville,2011-08-14
972136,Marty,False,Rosebery,2011-08-15
975349,Susie,True,Bondi Beach,2011-08-15
519412,Sarah,False,Randwick,2011-04-18
490291,Ingrid,False,Bondi,2011-04-06
433633,Ruth,True,Woollahra,2011-03-10
1174760,Christian,False,,2011-09-18
324467,Greg,False,Coogee,2010-12-21
1012161,Kirsteen,False,Redfern,2011-08-23
1240169,Margaret,False,,2011-10-03
1305178,Judy,True,Kirribilli,2011-10-18
1305383,Beachside,False,Ultimo,2011-10-18
3601970,MadeComfy,False,Manly,2012-09-18
1305383,MadeComfy,False,Ultimo,2011-10-18
1310233,Stefanie,False,Bondi Junction,2011-10-19
1214840,Jenni,False,Coogee,2011-09-27
1324995,Robert,True,The Rocks,2011-10-23
1340280,Sally,False,Newtown,2011-10-27
1340540,Tommy,False,Darling Point,2011-10-27
1347315,Gemma,False,Bondi,2011-10-29
1356919,Laelie,False,,2011-10-31
673365,Marie,True,Camperdown,2011-06-07
1387801,Kristin,False,Willoughby,2011-11-09
1389838,Sophie & Todd,False,North Bondi,2011-11-09
140484,Bronwyn,False,Newtown,2010-06-08
1428218,Alastair & Pip,True,,2011-11-21
1427173,Liora,False,North Bondi,2011-11-20
1431845,Sebastien,False,Maroubra,2011-11-22
1440732,Jacqui,False,Bondi,2011-11-25
1440754,Lynda,False,Randwick,2011-11-25
1261500,Hugh,True,Potts Point,2011-10-07
1475640,Joe,False,Darlinghurst,2011-12-05
91931192,Zara Tower Hotel,True,Kirribilli,2016-08-26
1493019,Adrian,False,Dover Heights,2011-12-11
1495023,Jess,False,Alexandria,2011-12-11
1492081,Alex,False,Potts Point,2011-12-10
1499005,Malou,False,Sydney,2011-12-12
1499246,Coleen,False,Newtown,2011-12-12
241834,Sonke,False,Darlinghurst,2010-09-21
113874,Bondi Beach Holiday Homes,False,Bellevue Hill,2010-04-26
1508328,Edwina,False,Paddington,2011-12-15
107189,Gab,False,Bondi Junction,2010-04-12
1520375,Carrie,False,Bondi Beach,2011-12-20
1526109,Andrew,True,Silverwater,2011-12-21
1540160,Linda,False,,2011-12-27
1544990,Lucy,False,Balgowlah,2011-12-28
209719,Angelique,True,Darlinghurst,2010-08-22
1569368,Deborah,False,,2012-01-05
1288103,Anna,False,Surry Hills,2011-10-13
1634967,Kathy,False,Glebe,2012-01-21
369440,Felicity,False,Kirribilli,2011-01-31
1596898,Gretchen,False,Erskineville,2012-01-11
1437903,Ruth,False,Newtown,2011-11-23
1686302,Pierre,True,Drummoyne,2012-02-01
1686302,Pierre,False,Drummoyne,2012-02-01
1756420,Sydney Harbour,False,Pyrmont,2012-02-15
1727971,Gregory,False,Wollstonecraft,2012-02-09
1727971,,,,
1783493,Michelle,False,,2012-02-20
27184,Rebecca,False,Ultimo,2009-07-23
