host_neighbourhood_lga,year_month,distinct_hosts,estimated_revenue,est_revenue_per_host
ARMIDALE REGIONAL,2020-05,1,21600.0,21600.0
ARMIDALE REGIONAL,2020-06,1,21600.0,21600.0
ARMIDALE REGIONAL,2020-07,1,21600.0,21600.0
ARMIDALE REGIONAL,2020-08,1,21600.0,21600.0
ARMIDALE REGIONAL,2020-09,1,21600.0,21600.0
ARMIDALE REGIONAL,2020-10,2,33360.0,16680.0
ARMIDALE REGIONAL,2020-11,2,29440.0,14720.0
ARMIDALE REGIONAL,2020-12,2,62172.0,31086.0
ARMIDALE REGIONAL,2021-01,2,37700.0,18850.0
ARMIDALE REGIONAL,2021-02,2,22580.0,11290.0
ARMIDALE REGIONAL,2021-03,2,42600.0,21300.0
ARMIDALE REGIONAL,2021-04,2,42600.0,21300.0
BATHURST REGIONAL,2020-05,11,2067480.0,187952.72727272726
BATHURST REGIONAL,2020-06,10,2032523.0,203252.3
BATHURST REGIONAL,2020-07,9,2247355.0,249706.11111111112
BATHURST REGIONAL,2020-08,9,3155630.0,350625.55555555556
BATHURST REGIONAL,2020-09,9,3342984.0,371442.6666666667
BATHURST REGIONAL,2020-10,10,3592327.62,359232.762
BATHURST REGIONAL,2020-11,9,3719968.0,413329.77777777775
BATHURST REGIONAL,2020-12,9,3639310.0,404367.77777777775
BATHURST REGIONAL,2021-01,9,3551315.0,394590.55555555556
BATHURST REGIONAL,2021-02,9,3440750.0,382305.55555555556
BATHURST REGIONAL,2021-03,9,4073569.0,452618.77777777775
BATHURST REGIONAL,2021-04,9,3347150.0,371905.55555555556
BAYSIDE,2020-05,893,33053418.0,37013.90593505039
BAYSIDE,2020-06,881,32805252.0,37236.38138479001
BAYSIDE,2020-07,761,29644890.0,38955.17739816032
BAYSIDE,2020-08,756,26686453.46,35299.54161375661
BAYSIDE,2020-09,833,30263503.63,36330.73665066026
BAYSIDE,2020-10,821,31697164.64,38607.99590742996
BAYSIDE,2020-11,809,31429846.0,38850.242274412856
BAYSIDE,2020-12,792,35279367.8,44544.65631313131
BAYSIDE,2021-01,784,32724183.0,41740.0293367347
BAYSIDE,2021-02,776,30334996.0,39091.489690721646
BAYSIDE,2021-03,769,31182439.0,40549.335500650195
BAYSIDE,2021-04,748,29361018.0,39252.697860962566
BURWOOD,2020-05,171,4799244.0,28065.754385964912
BURWOOD,2020-06,167,4791030.0,28688.80239520958
BURWOOD,2020-07,150,3781681.0,25211.206666666665
BURWOOD,2020-08,148,3797224.85,25656.924662162164
BURWOOD,2020-09,159,4467623.83,28098.263081761008
BURWOOD,2020-10,159,4908763.3,30872.725157232704
BURWOOD,2020-11,157,4528643.0,28844.859872611465
BURWOOD,2020-12,153,5363657.0,35056.5816993464
BURWOOD,2021-01,152,5194389.0,34173.61184210526
BURWOOD,2021-02,152,4268853.0,28084.559210526317
BURWOOD,2021-03,151,4556418.0,30174.953642384105
BURWOOD,2021-04,145,4392266.0,30291.489655172412
CANADA BAY,2020-05,207,8620324.0,41644.07729468599
CANADA BAY,2020-06,204,8590661.0,42111.083333333336
CANADA BAY,2020-07,173,7544759.0,43611.32369942196
CANADA BAY,2020-08,172,7453236.0,43332.767441860466
CANADA BAY,2020-09,191,8234532.08,43112.73340314136
CANADA BAY,2020-10,190,8760895.04,46109.97389473684
CANADA BAY,2020-11,175,8137530.0,46500.171428571426
CANADA BAY,2020-12,173,8293011.0,47936.47976878613
CANADA BAY,2021-01,172,8314434.0,48339.732558139534
CANADA BAY,2021-02,172,8200964.0,47680.023255813954
CANADA BAY,2021-03,170,8624929.0,50734.876470588235
CANADA BAY,2021-04,165,8423605.0,51052.15151515151
CANTERBURY-BANKSTOWN,2020-05,283,7257361.0,25644.385159010602
CANTERBURY-BANKSTOWN,2020-06,281,7498752.0,26685.95017793594
CANTERBURY-BANKSTOWN,2020-07,254,6830612.0,26892.173228346455
CANTERBURY-BANKSTOWN,2020-08,247,5762632.18,23330.494655870443
CANTERBURY-BANKSTOWN,2020-09,271,6763881.66,24958.97291512915
CANTERBURY-BANKSTOWN,2020-10,273,7804976.94,28589.65912087912
CANTERBURY-BANKSTOWN,2020-11,270,7305846.0,27058.68888888889
CANTERBURY-BANKSTOWN,2020-12,258,9449803.0,36627.14341085271
CANTERBURY-BANKSTOWN,2021-01,251,7932954.0,31605.394422310757
CANTERBURY-BANKSTOWN,2021-02,251,7369271.0,29359.645418326694
CANTERBURY-BANKSTOWN,2021-03,249,7832631.0,31456.349397590362
CANTERBURY-BANKSTOWN,2021-04,246,6678417.0,27148.036585365855
CUMBERLAND,2020-05,4,306143.0,76535.75
CUMBERLAND,2020-06,4,312238.0,78059.5
CUMBERLAND,2020-07,4,268222.0,67055.5
CUMBERLAND,2020-08,4,146214.9,36553.725
CUMBERLAND,2020-09,4,160758.52,40189.63
CUMBERLAND,2020-10,4,113942.08,28485.52
CUMBERLAND,2020-11,2,3168.0,1584.0
CUMBERLAND,2020-12,2,10104.0,5052.0
CUMBERLAND,2021-01,1,40668.0,40668.0
CUMBERLAND,2021-02,2,2928.0,1464.0
CUMBERLAND,2021-03,2,5064.0,2532.0
CUMBERLAND,2021-04,2,11520.0,5760.0
DUNGOG,2020-05,49,1822297.0,37189.73469387755
DUNGOG,2020-06,47,1791744.0,38122.21276595745
DUNGOG,2020-07,43,1621595.0,37711.51162790698
DUNGOG,2020-08,42,1540432.0,36676.95238095238
DUNGOG,2020-09,44,1577394.03,35849.86431818182
DUNGOG,2020-10,44,1819708.0,41357.0
DUNGOG,2020-11,43,1719366.0,39985.25581395349
DUNGOG,2020-12,41,1757982.0,42877.60975609756
DUNGOG,2021-01,40,1965240.0,49131.0
DUNGOG,2021-02,40,1581492.0,39537.3
DUNGOG,2021-03,40,1604016.0,40100.4
DUNGOG,2021-04,40,1635660.0,40891.5
GEORGES RIVER,2020-05,133,4352798.0,32727.804511278195
GEORGES RIVER,2020-06,128,5407833.0,42248.6953125
GEORGES RIVER,2020-07,115,4650595.0,40439.95652173913
GEORGES RIVER,2020-08,111,3854409.0,34724.40540540541
GEORGES RIVER,2020-09,119,4580099.4,38488.230252100846
GEORGES RIVER,2020-10,118,5077399.26,43028.80728813559
GEORGES RIVER,2020-11,117,4420889.0,37785.37606837607
GEORGES RIVER,2020-12,113,5367057.0,47496.0796460177
GEORGES RIVER,2021-01,110,4650129.0,42273.9
GEORGES RIVER,2021-02,109,4538543.0,41638.00917431193
GEORGES RIVER,2021-03,109,4390057.0,40275.752293577985
GEORGES RIVER,2021-04,107,4083068.0,38159.51401869159
HAWKESBURY,2020-05,5,118740.0,23748.0
HAWKESBURY,2020-06,5,118410.0,23682.0
HAWKESBURY,2020-07,6,119440.0,19906.666666666668
HAWKESBURY,2020-08,4,115891.0,28972.75
HAWKESBURY,2020-09,4,118410.0,29602.5
HAWKESBURY,2020-10,4,118410.0,29602.5
HAWKESBURY,2020-11,4,138815.0,34703.75
HAWKESBURY,2020-12,4,97125.0,24281.25
HAWKESBURY,2021-01,4,53565.0,13391.25
HAWKESBURY,2021-02,4,140190.0,35047.5
HAWKESBURY,2021-03,4,140190.0,35047.5
HAWKESBURY,2021-04,4,171162.0,42790.5
HUNTERS HILL,2020-05,66,3028718.0,45889.666666666664
HUNTERS HILL,2020-06,67,2985768.0,44563.701492537315
HUNTERS HILL,2020-07,55,2396142.0,43566.218181818185
HUNTERS HILL,2020-08,55,2545745.0,46286.27272727273
HUNTERS HILL,2020-09,61,3057568.92,50124.08065573771
HUNTERS HILL,2020-10,60,3079202.0,51320.03333333333
HUNTERS HILL,2020-11,59,2699980.0,45762.372881355936
HUNTERS HILL,2020-12,57,3104728.0,54468.912280701756
HUNTERS HILL,2021-01,57,3331596.0,58449.05263157895
HUNTERS HILL,2021-02,53,2777256.0,52401.056603773584
HUNTERS HILL,2021-03,51,2842534.0,55735.96078431373
