index,listing_neighbourhood,year_month,active_listings_rate,min_price_active,max_price_active,median_price_active,avg_price_active,distinct_hosts,superhost_rate,avg_review_score_active,active_listings,inactive_listings,total_stays,avg_estimated_revenue_per_active,pct_change_active_listings,pct_change_inactive_listings
0,Bayside,2020-05,100.0,0.0,2544.0,86.0,144.44292803970222,1220.0,11.721311475409836,92.05848513902205,1616.0,0.0,30899.0,2461.658415841584,,
1,Bayside,2020-06,100.0,0.0,2456.0,84.0,142.58849557522123,1201.0,11.5736885928393,92.10137795275591,1586.0,0.0,30393.0,2498.889029003783,-1.856435643564358,
2,Bayside,2020-07,100.0,0.0,2426.0,85.0,150.7960235640648,1041.0,11.719500480307397,91.87455621301775,1362.0,0.0,26195.0,2505.610866372981,-14.12358133669609,
3,Bayside,2020-08,100.0,17.0,2904.0,79.0,110.69451449275361,1051.0,11.417697431018079,92.00915331807781,1380.0,0.0,24945.0,1916.7037608695655,1.3215859030837107,
4,Bayside,2020-09,100.0,17.0,2903.71,79.0,109.02848150551588,1157.0,10.97666378565255,91.95979381443298,1541.0,0.0,28820.0,1961.9354250486695,11.66666666666667,
5,Bayside,2020-10,100.0,17.0,2904.0,78.0,108.78174487772637,1141.0,10.867659947414548,92.08718487394958,1513.0,0.0,30281.0,2103.4456113681426,-1.8170019467877996,
6,Bayside,2020-11,100.0,14.0,2904.0,78.0,112.5416384563304,1115.0,10.941704035874439,92.329360780065,1477.0,0.0,27938.0,2083.91807718348,-2.379378717779246,
7,Bayside,2020-12,100.0,15.0,2904.0,80.0,116.81609511051573,1128.0,10.549645390070921,92.12472647702407,1493.0,0.0,31826.0,2486.875351640991,1.083276912660791,
8,Bayside,2021-01,100.0,15.0,2904.0,80.0,128.83222370173104,1128.0,10.638297872340425,92.10730088495575,1502.0,0.0,31143.0,2631.8848202396803,0.602813127930335,
9,Bayside,2021-02,99.73027646662172,15.0,2904.0,80.0,124.72143340094658,1111.0,10.621062106210621,92.0299003322259,1479.0,4.0,28791.0,2421.2772143340094,-1.5312916111850816,inf
10,Bayside,2021-03,99.65541006202618,15.0,2904.0,80.0,126.84854771784232,1106.0,10.488245931283906,92.06772009029345,1446.0,5.0,29291.0,2613.850622406639,-2.2312373225152116,25.0
11,Bayside,2021-04,99.16434540389972,15.0,2904.0,80.0,120.04564606741573,1087.0,10.395584176632934,92.24885321100918,1424.0,12.0,28947.0,2492.330056179775,-1.5214384508990264,140.0
12,Blacktown,2020-05,100.0,23.0,1099.0,63.0,90.30188679245283,239.0,10.87866108786611,89.92039800995025,318.0,0.0,3628.0,1037.927672955975,,
13,Blacktown,2020-06,100.0,23.0,1099.0,62.0,90.6742671009772,234.0,11.538461538461538,90.45502645502646,307.0,0.0,3816.0,1109.097719869707,-3.459119496855345,
14,Blacktown,2020-07,100.0,23.0,2164.0,66.0,123.68634686346863,212.0,9.90566037735849,90.34567901234568,271.0,0.0,3898.0,1423.9852398523985,-11.726384364820852,
15,Blacktown,2020-08,100.0,20.0,2000.0,60.0,98.15205673758865,216.0,10.185185185185185,90.01169590643275,282.0,0.0,3318.0,1228.808085106383,4.0590405904058935,
16,Blacktown,2020-09,100.0,20.0,2000.0,60.0,95.00595155709343,220.0,10.0,90.69714285714285,289.0,0.0,3614.0,1179.457508650519,2.4822695035461084,
17,Blacktown,2020-10,100.0,18.0,2000.0,64.0,98.96544483985765,216.0,9.722222222222223,91.22485207100591,281.0,0.0,4098.0,1673.4580071174375,-2.768166089965396,
18,Blacktown,2020-11,100.0,18.0,2000.0,61.0,92.80701754385964,221.0,9.502262443438914,91.05917159763314,285.0,0.0,3409.0,1227.3649122807017,1.4234875444839812,
19,Blacktown,2020-12,99.64912280701755,22.0,2000.0,61.5,92.99295774647888,217.0,10.138248847926267,91.0,284.0,1.0,4423.0,1670.380281690141,-0.35087719298245723,inf
20,Blacktown,2021-01,100.0,22.0,2228.0,61.0,106.68070175438596,213.0,10.328638497652582,90.5965909090909,285.0,0.0,4095.0,1718.1157894736841,0.35211267605634866,-100.0
21,Blacktown,2021-02,99.63768115942028,22.0,2000.0,63.0,93.55272727272727,216.0,10.185185185185185,90.8562874251497,275.0,1.0,3299.0,1075.2872727272727,-3.508771929824561,inf
22,Blacktown,2021-03,98.16849816849816,22.0,2000.0,65.0,97.65671641791045,216.0,11.11111111111111,91.84375,268.0,5.0,3457.0,1203.7873134328358,-2.5454545454545507,400.0
23,Blacktown,2021-04,96.0,22.0,2000.0,66.0,100.21969696969697,218.0,11.46788990825688,92.01960784313725,264.0,11.0,3540.0,1264.128787878788,-1.4925373134328401,120.00000000000001
24,Burwood,2020-05,100.0,15.0,2440.0,70.0,148.54981549815497,169.0,13.017751479289942,89.48066298342542,271.0,0.0,4615.0,2000.2140221402215,,
25,Burwood,2020-06,100.0,14.0,2440.0,69.0,130.9467680608365,165.0,12.121212121212121,89.49431818181819,263.0,0.0,4224.0,2066.847908745247,-2.9520295202952074,
26,Burwood,2020-07,100.0,14.0,2711.0,70.0,151.55555555555554,149.0,12.080536912751679,89.09868421052632,234.0,0.0,3819.0,1948.440170940171,-11.026615969581755,
27,Burwood,2020-08,100.0,15.0,530.0,65.0,91.73648979591837,152.0,10.526315789473683,89.5952380952381,245.0,0.0,3757.0,1272.894775510204,4.700854700854706,
28,Burwood,2020-09,100.0,15.0,530.0,66.0,92.40425855513308,158.0,10.126582278481013,89.85792349726776,263.0,0.0,4236.0,1338.4817870722434,7.346938775510203,
29,Burwood,2020-10,100.0,15.0,530.0,65.0,90.03071698113207,163.0,11.042944785276074,89.15760869565217,265.0,0.0,4367.0,1350.0943396226414,0.7604562737642651,
30,Burwood,2020-11,100.0,15.0,530.0,69.5,91.42125984251969,153.0,11.11111111111111,89.7361963190184,254.0,0.0,3888.0,1248.6259842519685,-4.150943396226414,
31,Burwood,2020-12,100.0,16.0,530.0,70.0,100.1984126984127,151.0,11.258278145695364,89.95906432748538,252.0,0.0,4599.0,1635.718253968254,-0.7874015748031482,
32,Burwood,2021-01,100.0,16.0,530.0,70.0,98.87250996015936,149.0,11.409395973154362,89.9715909090909,251.0,0.0,4641.0,1636.167330677291,-0.3968253968253954,
33,Burwood,2021-02,100.0,16.0,530.0,70.0,95.66521739130435,145.0,11.03448275862069,90.44047619047619,230.0,0.0,3999.0,1451.7695652173913,-8.366533864541836,
34,Burwood,2021-03,100.0,16.0,530.0,70.0,96.94117647058823,143.0,11.188811188811188,90.7030303030303,221.0,0.0,4248.0,1693.4343891402716,-3.913043478260869,
35,Burwood,2021-04,100.0,16.0,530.0,72.5,100.53508771929825,151.0,11.258278145695364,90.19760479041916,228.0,0.0,4036.0,1651.6052631578948,3.167420814479649,
36,Camden,2020-05,100.0,35.0,350.0,85.0,107.63265306122449,41.0,34.146341463414636,94.36666666666666,49.0,0.0,606.0,1183.734693877551,,
37,Camden,2020-06,100.0,32.0,350.0,87.5,106.76,41.0,36.58536585365854,94.82352941176471,50.0,0.0,657.0,1462.1,2.0408163265306145,
38,Camden,2020-07,100.0,31.0,2157.0,100.0,242.70212765957447,40.0,35.0,94.9,47.0,0.0,778.0,2422.8936170212764,-6.000000000000005,
39,Camden,2020-08,100.0,35.0,400.0,95.0,112.36170212765957,41.0,39.02439024390244,95.15151515151516,47.0,0.0,695.0,1616.531914893617,0.0,
40,Camden,2020-09,100.0,35.0,400.0,92.0,110.473125,42.0,40.476190476190474,95.20588235294117,48.0,0.0,770.0,1825.7164583333333,2.127659574468077,
41,Camden,2020-10,100.0,35.0,425.0,100.0,114.38811320754716,43.0,39.53488372093023,95.11764705882354,53.0,0.0,814.0,1753.827924528302,10.416666666666675,
42,Camden,2020-11,100.0,35.0,425.0,100.0,122.67924528301887,42.0,38.095238095238095,94.88235294117646,53.0,0.0,841.0,1801.0188679245282,0.0,
43,Camden,2020-12,100.0,35.0,472.0,100.0,127.60377358490567,43.0,37.2093023255814,95.02857142857142,53.0,0.0,930.0,2250.0754716981132,0.0,
44,Camden,2021-01,100.0,35.0,448.0,100.0,127.22641509433963,43.0,34.883720930232556,94.40625,53.0,0.0,855.0,1837.0566037735848,0.0,
45,Camden,2021-02,100.0,35.0,427.0,100.0,125.71153846153847,42.0,35.714285714285715,94.39393939393939,52.0,0.0,744.0,1734.5576923076924,-1.8867924528301883,
46,Camden,2021-03,100.0,35.0,425.0,100.0,126.80392156862744,41.0,36.58536585365854,94.39393939393939,51.0,0.0,838.0,1971.0196078431372,-1.9230769230769273,
47,Camden,2021-04,100.0,35.0,425.0,94.0,109.24,40.0,37.5,94.96774193548387,50.0,0.0,922.0,1968.8,-1.9607843137254943,
48,Campbelltown,2020-05,100.0,20.0,2500.0,75.0,156.28571428571428,75.0,29.333333333333332,91.93333333333334,119.0,0.0,1850.0,1291.7310924369747,,
49,Campbelltown,2020-06,100.0,20.0,2500.0,80.0,161.72268907563026,75.0,28.000000000000004,92.28888888888889,119.0,0.0,1889.0,1887.5714285714287,0.0,
50,Campbelltown,2020-07,100.0,20.0,2500.0,82.0,245.9158878504673,69.0,28.985507246376812,92.48051948051948,107.0,0.0,1701.0,2360.1028037383176,-10.084033613445376,
51,Campbelltown,2020-08,100.0,25.0,2500.0,80.5,149.12765957446808,68.0,29.411764705882355,92.5068493150685,94.0,0.0,1173.0,1733.0425531914893,-12.149532710280376,
52,Campbelltown,2020-09,100.0,25.0,510.0,74.215,114.8643,71.0,28.169014084507044,92.46753246753246,100.0,0.0,1528.0,1246.469,6.382978723404253,
53,Campbelltown,2020-10,100.0,25.0,659.0,74.0,114.77979166666667,67.0,28.35820895522388,90.77922077922078,96.0,0.0,1683.0,1733.1125,-4.0000000000000036,
54,Campbelltown,2020-11,100.0,25.0,660.0,78.0,120.74747474747475,68.0,29.411764705882355,90.42857142857143,99.0,0.0,1599.0,1426.050505050505,3.125,
