index,property_type,room_type,accommodates,year_month,active_listings_rate,min_price_active,max_price_active,median_price_active,avg_price_active,distinct_hosts,superhost_rate,avg_review_score_active,active_listings,inactive_listings,total_stays,avg_estimated_revenue_per_active,pct_change_active_listings,pct_change_inactive_listings
0,Aparthotel,Entire home/apt,2,2020-05,100.0,165.0,165.0,165.0,165.0,1.0,100.0,94.0,1.0,0.0,0.0,0.0,,
1,Aparthotel,Entire home/apt,2,2020-06,100.0,164.0,164.0,164.0,164.0,1.0,100.0,94.0,1.0,0.0,0.0,0.0,0.0,
2,Aparthotel,Entire home/apt,3,2020-06,100.0,99.0,109.0,104.0,104.0,1.0,0.0,80.0,8.0,0.0,5.0,61.875,,
3,Aparthotel,Entire home/apt,3,2020-07,100.0,98.0,108.0,103.0,103.0,1.0,0.0,73.57142857142857,8.0,0.0,30.0,370.0,0.0,
4,Aparthotel,Entire home/apt,5,2020-05,100.0,158.0,158.0,158.0,158.0,1.0,0.0,93.0,1.0,0.0,28.0,4424.0,,
5,Aparthotel,Entire home/apt,5,2020-06,100.0,158.0,158.0,158.0,158.0,1.0,0.0,93.0,1.0,0.0,14.0,2212.0,0.0,
6,Aparthotel,Entire home/apt,5,2020-07,100.0,158.0,158.0,158.0,158.0,1.0,0.0,93.0,1.0,0.0,13.0,2054.0,0.0,
7,Aparthotel,Hotel room,2,2020-05,100.0,47.0,501.0,347.5,310.75,2.0,50.0,92.5,4.0,0.0,8.0,888.5,,
8,Aparthotel,Hotel room,2,2020-06,100.0,48.0,501.0,348.0,311.25,2.0,50.0,92.5,4.0,0.0,25.0,3018.0,0.0,
9,Aparthotel,Hotel room,2,2020-07,100.0,196.0,500.0,500.0,398.6666666666667,1.0,100.0,97.33333333333333,3.0,0.0,15.0,2398.6666666666665,-25.0,
10,Aparthotel,Hotel room,4,2020-05,100.0,499.0,501.0,501.0,500.3333333333333,2.0,50.0,94.0,3.0,0.0,0.0,0.0,,
11,Aparthotel,Hotel room,4,2020-06,100.0,499.0,501.0,501.0,500.3333333333333,2.0,50.0,94.0,3.0,0.0,2.0,334.0,0.0,
12,Aparthotel,Hotel room,4,2020-07,100.0,500.0,500.0,500.0,500.0,1.0,100.0,93.0,1.0,0.0,8.0,4000.0,-66.66666666666667,
13,Aparthotel,Private room,2,2020-05,100.0,80.0,351.0,130.0,172.75,3.0,33.33333333333333,92.66666666666667,4.0,0.0,32.0,665.0,,
14,Aparthotel,Private room,2,2020-06,100.0,80.0,350.0,130.0,172.5,3.0,33.33333333333333,90.33333333333333,4.0,0.0,61.0,1607.5,0.0,
15,Aparthotel,Private room,2,2020-07,100.0,80.0,350.0,130.0,156.66666666666666,3.0,33.33333333333333,92.75,6.0,0.0,35.0,543.3333333333334,50.0,
16,Aparthotel,Private room,3,2020-05,100.0,139.0,139.0,139.0,139.0,1.0,100.0,100.0,1.0,0.0,1.0,139.0,,
17,Aparthotel,Private room,3,2020-06,100.0,140.0,140.0,140.0,140.0,1.0,100.0,100.0,1.0,0.0,1.0,140.0,0.0,
18,Aparthotel,Private room,3,2020-07,100.0,140.0,140.0,140.0,140.0,1.0,100.0,100.0,2.0,0.0,2.0,140.0,100.0,
